review_id,review_date,exp_date,sent_count,review_month,exp_month,review_body,Aspects,Sentiments,Opinion_Words,review_likes,author_loc,author_country,author_name
Taj_NEG_1,2-Aug-19,Aug-19,2,August,August,romantic beautiful and not crowded on our sunrise visit . well hidden as you walk up for the big reveal .,,,,1,none,none,kate h
Taj_NEG_2,25-Jul-19,Aug-18,3,July,August,"One of these highly overrated places . The building itself is nice , but nothing extraordinary . Taj Mahal is the first place on this planet where even on the fridge magnets you will find tourists .",,,,34,"Warsaw, Poland",Poland,Kapitanos10
Taj_NEG_1,2-Aug-19,Aug-19,2,August,August,romantic beautiful and not crowded on our sunrise visit . well hidden as you walk up for the big reveal .,,,,1,none,none,kate h
Taj_NEG_4,7-Jul-19,Feb-19,2,July,February,"I do not Understand how this became world wonder . Still we have Ajantha and ellora archeologyical mystery , .",,,,0,none,none,arjunvellonda
Taj_NEG_2,25-Jul-19,Aug-18,3,July,August,"One of these highly overrated places . The building itself is nice , but nothing extraordinary . Taj Mahal is the first place on this planet where even on the fridge magnets you will find tourists .",,,,34,"Warsaw, Poland",Poland,Kapitanos10
Taj_NEG_3,24-Jul-19,Dec-18,6,July,December,"The building was very beautiful and full of people taking fotos . Te area is dirty , especially outside . There were mountains of garbage that were bigger than me almost . I did not take my shoes out anywhere that was needed . I just skipped it . I did not feel the place was clean enough .","building,""people taking photos"";area,outside;""mountains of garbage"";$;$;place","1,0;-1,-1;-1;$;$;-1","""very beautiful"",full;dirty,dirty;$;$;$;$",56,"Bologna, Italy",Italy,N A
Taj_NEG_7,2-Apr-19,May-18,28,April,May,"Is the Taj Mahal beautiful , absolutely . Is it also terribly managed and a mess , absolutely . The city of Agra is absolutely disgusting , and clearly none of the money that is paid by visitors by the Taj does not go back into the town of Agra , or even to keeping up the Taj . When we visited , we left our hotel well before sunrise to arrive at the gates and ensure that we were one of the firt groups to arrive . It was already packed , and we did not visit in tourist season . On the walk to the ticket office , we walked by more trash than I have seen in India ( I have been here many many times , and even this amount was appalling ) beggars , and all different species of animals that were running wild and very poorly cared for . The most suprising were the horses that were giving people rides to the Taj , they were stick thin , and were clearly overused and abused , and not well fed or cared for . It was surprising that we could not drive up to the gates , but the reasoning was because the pollution was staining the Taj . But yet , you could drive up within .25 km of the monument itself , and immediately outside the gates were cars , and trash . The ban on cars was absolutely non-sensical . The beggars were bold and refused to hear a no from me , it required my male coworker to tell them no . Same goes for the hawkers running alongside us trying to sell us tiny chess sets and magnets . By the time we got in line , we were exhausted , overstimulated , and ready to leave . We waited in line for a long time to get through the laughable security , while monkeys on top of the building hooted and jumped around , and literally defecated on top of the awnings we were under . I know you cannot control monkeys , but there is nothing that can be done to prevent this experience ? Once we got inside , the building was breathtaking , for a minute . And then the insta-tourists revealed themselves , with their hair flips , hats , selfie sticks and hand holding poses . It actually took so long for us to move to the front of the queue of people trying to take photos with selfie sticks , it became more entertaining to watch them fight about who was going to get their selfie first . As we walked up to go into the mausoleam we had to put on booties over our shoes , which I am in support of . The monument should be treated as a wonder of the world . Unfortunately that is where the thoughfulness ended . As we walked up , the carpets were haphazardly laying around , halfway rolled up and causing the site to look like a mess , and preventing people from walking on them . Looking out over the river in the back is also an eye opening experience , as the trash that is piled up in back of the site is appalling , as is the trash floating down the river . Also , all the pools were empty , and very very dirty . And , no exaggeration , there are dead pigeons on the ledges inside the mausoleum . Does anyone give a hoot about this place ? Ultimately , it is a beautiful place , that will continue to be run down if the mis-management continues , and will spiral quickly as the tourists increase . I am not sure where the money from ticket sales go , but it clearly is not going to maintenance , cleaning or damages prevention .",,,,14,Warren,USA,toddalini
Taj_NEG_8,23-Mar-19,Mar-19,16,March,March,"do not get me wrong the monument is stunning , but the organisation is absolutely diabolical and the poorly maintained streets leading up to it stink of urine . Foreigners pay 26x what locals pay but this includes access to the mausoleum and jumps the queues although its so poorly signed that you might end up in a queue anyway . Ticket sales staff are rude and try to short change you , be alert . Once you have your ticket collect your water and shoe covers and then prepare to fight off multiple guides , all claiming to be official government but wanting to charge up to 2000 rupees ( about 25 ) on top of the excessive foreigner fee of 1300 rupees ( about 15 ) . They continually used selling points ranging from using their services would allow us to skip the queues and use toilets for free ! Once in the queue , watch your pockets and possessions , I had a guy trying to get into my back pack . Security is haphazard and disorganised too . They confiscated mints but allow alcohol hand wash in ! Tripods are NOT allowed , but selfie sticks are . Once inside there are very few staff to help and guides all want paying just for pointing you in the correct direction . Even just sat relaxing to take in the impressive sight , we got suspicious characters sitting right next to us virtually touching us and our bags . Inside the mausoleum photography is not allowed and shoes must be covered . We found other ( local ) people being very disrespectful taking photos and even the guards were taking photos and accepting money . The streets outside were dangerous and full of shopkeepers trying to use every trick in the book to get you inside their shops , Tuktuks stopping every few seconds and no pavements . The area smelt of urine and the money earned from the tourist dollar most definately is not being invested back into the infrastructure . All in all this was once a must see modern wonder of the world but over exploitation of the life blood , Tourists , Would mean I advise anyone considering visiting to search for photos and videos online and spend their hard earned money elsewhere .",,,,174,"Manchester, United Kingdom",United Kingdom,chris0241
Taj_NEG_4,7-Jul-19,Feb-19,2,July,February,"I do not Understand how this became world wonder . Still we have Ajantha and ellora archeologyical mystery , .",,,,0,none,none,arjunvellonda
Taj_NEG_5,10-May-19,Jun-18,14,May,June,"Taj Mahal is my dream place of visit because I read about it since childhood . However , I was disappointed to arrive at a poorly poorly managed location with haze ( from air pollution ) that photos can hardly be clear . Rusty pipes in the pond greets visitors as well as eroded plaques in many places . The worst part is that they charge tourists significantly higher price to enter , as compared to locals . The haze that surrounded the whole region is caused by burning of harvested land hence it can not be cleared in a few weeks . Breathing is difficult as well as allergies , coughing and eyes irritation makes the entire trip miserable . The pictures displayed is not what you get . If you really want to see this piece of history , go prepared with masks , allergy medicine and of course a huge purse . Yes , my most unforgetable / embarrassing experience is being harrassed by the toilet cleaner because I did not have 1 rupee to pay for my toilet visit . When I change money , they give big notes in rupees . Otherwise I only have euros and USD in hundreds . Toilet visits and shoes deposits cost small money BUT they DO NOT give change . Wait for your shoes to disappear , do it on the grass or make sure you have small change . Overall visit is unpleasant despite having to pay exorbitant prices for small gifts because they are trained to add a few more zeros to the back of ticketed items and deny that the tag on that item is the price for locals .","""place of visit""; location, photos;""pipes in the pond"", plaques;charge;haze;Breathing,trip;$;$;experience,""toilet cleaner"";$;$;""Toilet visits"", ""shoes deposits"";$;""overall visit"",prices","1;-1,-1;-1,-1;-1;-1;-1,-1;$;$;-1,-1;$;$;2,2;$;-1,-1","dream;""poorly managed"", ""hardly be clear"";Rusty,eroded;""significantly higher price"";""can not be cleared in a few weeks"";difficult,allergies:coughing:""eyes irritation"":miserble;$;$;unforgettable:embarrassing,harassed;$;$;""cost small money BUT they DO NOT give change"", ""cost small money BUT they DO NOT give change"";$;unpleasant,exorbitant",47,none,none,Yun L
