review_id,review_date,exp_date,sent_count,review_month,exp_month,review_body,Aspects,Sentiments,Opinion_Words,review_likes,author_loc,author_country,author_name
Taj_NEU_1,11-Aug-19,Jul-19,14,August,July,"Taj Mahal mausoleum is beautiful but its full of scam . We paid 1300 INR each and they gave us an official guide . I asked if we need to pay for it , they said its part of the fee . Believing in that , we accept the tour guide . But actually its annoying to have him with us when we just want to enjoy the view . At the end of the tour , he wanted to take us to the govt shops but we refused because we wanted to take our breakfast back to the hotel . He asked if we have nz currency with us we said no . We are about to give him 200 INR he said the minimum tip is 10USD or 700 INR . We said we do not have enough cash . He offered to take us to nearby atm which really annoyed us and we reminded him that its part of the tour guiding us . He ended up leaving us and did not get anything . I suggest if you want to see Taj Mahal just go for a day trip and go to Rajasthan . Everyone is expecting a tip in Agra and kinda stressful dealing with them for 3 days we were there . Agra itself is a slum and damp .",,,,2,none,none,NZFemaletraveler80
Taj_NEU_2,16-Jun-19,Dec-18,3,June,December,"India's most important touristic objective is more commercial than reality . I arrived in the morning to see the sunrise , but because of the pollution I saw only clouds ( mist ) . Not so wow as I expected .",,,,6,"Sibiu, Romania",Romania,HoraceTC
Taj_NEU_3,20-May-19,May-19,7,May,May,"This iconic monument is an inspiration to all with the incredible attention to detail in the exquisite carving & inscriptions throughout the building . Unbelievable to think it took 20,000 labourers almost 22 years to build between 1631-1653 . The Taj Mahal soars to a height of 74.2 metres yet it still looks very delicate . The four facades of the tomb are flanked by arches followed by smaller arches . At the corners are 4 three-storeyed minarets . The garden surrounding the Taj is beautiful in its own right . A truly remarkable piece of architecture .",,,,96,"New Plymouth, New Zealand",New Zealand,Wendy w
Taj_NEU_4,19-May-19,Mar-19,6,May,March,"Taj Mahal if known for its iconic architecture and it does not fail to awe inspire you with its scale , details , exquisite carving and structure . Its the tourists and the staff behaviour at the entrance that suck the joy out of the experience . The place is terribly crowded on most days especially on a sunday . Everything is overpriced in the vicinity as is the norm with tourist places . The signage is very confusing . Thanks to the broken peripheral wall in many places , one can step out of the place from any part .",,,,15,"Ahmedabad, Gujarat, India",India,SwagataSN
Taj_NEU_5,15-May-19,Jul-18,1,May,July,"i was really excited to visit the taj mahal as it is known around the world to be beautiful and majestic , what i saw let me down , i just feel as if there is not special about the place , it was very underwhelming , i would perhaps recommend visiting akshardham temple in delhi instead , .",,,,4,"Dublin, Ireland",Ireland,glowcherries
Taj_NEU_6,8-May-19,Apr-19,10,May,April,"Hi ! I have visited the Taj few times earlier as well . But this time was with a special purpose - The Full Moon Visit . And we all were really excited for that . I went to see the sunrise as well as the sunset on the same day , and it was worth it . Every penny of it . But the full moon visit was extremely disappointing because there is no visibility of Taj . And there is no view . Perhaps , there could be if someone applies their brain . If they allow people to look at the Taj from the side opposite where the moon is , we could get a beautiful view of both Taj Mahal beneath the Moon , possibly .",,,,6,"New Delhi, India",India,manikd47
Taj_NEU_7,6-May-19,Apr-19,7,May,April,"A piece of poetry in architecture 4 sure but I would not be being truthful though if I failed to mention-as many have , the smell from the EXTREME water pollution ( Yamuna River ) that one finds oneself inhaling or more correctly nearly passing out to , as one exits the electric buggy or strolls along the Taj's back terrace ! And of course the very rude staff and endless harassment - inside and out and sick and starving animals on the road in . We went at sunsrise and the vision you see as the TM appears stepping through the gate can onlly be described as a breath taking mirage . But the demotion 5 to 3 stars is because everything else - has to be improved . I went below to see the real tombs of the couple and prayers being said - which was moving but was rudely hearded down for this . The pollution of the Yamuna river , due to drains etc is a major issue - I saw it mentioned quite alot in the major national papers whilst i was in India . Toilets were not open until museum parts open at 9am .",,,,122,"Edinburgh, United Kingdom",United Kingdom,pickytweeter
Taj_NEU_8,9-Apr-19,Apr-19,17,April,April,"We signed up for World Taj Adventure Tours out of Delhi . I was not paying particular attention to the fact that Monument Entrance Fee was not included . Make sure you remember to bring extra rupees - 1200 per person for the entrance fee . Then if you get a professional photographer photos ( which the tour guide pushed have another 3000 to 5000 rupees to pay for the pictures plus the digital CD . We agreed to the photos , because - how many times will we see the Taj Mahal in our life ? Faisal ( our tour guide ) did a good job of explaining the story . After touring and seeing the tombs , we went to a marble inlay work store . The owner explained how long it took to make one tiny intricate flower . And he showed us how the light hits the marble of the Taj in different circumstances ( moon light , sunrise , sunset , monsoon & daytime ) They really are beautiful - but again another marketing push . We were okay saying no to spending more money , but do not love it when the tour guides continuously put you into those situations . We said we were not interested in seeing the black India stone . We drove 3 hours from our hotel in Delhi with Ali . He brought along chips , candy & water for the long ride . He also pointed out places of interest along the way . Overall , it was a very quiet drive with hardly any traffic for most of the trip on the new highway . We fell asleep in the back of the car for a good hour . I would recommend this to others , with a hardy warning to say in advance if you are not interested in buying the wares following the visit .",,,,18,"Honolulu, Hawaii",United States of America,TawnyaH579
Taj_NEU_9,25-Mar-19,Mar-19,5,March,March,I first visited this monument in 1999 . Very few people visited it then in comparison to today . It has lost so much of its soul . Metal barriers and tourists being hearded through like sheep was the experience we had this time . A bit sad really .,,,,5,"Almaty, Kazakhstan",Kazakhstan,MichaelS1520
Taj_NEU_10,24-Mar-19,Mar-19,2,March,March,"The Taj itself is undoubtedly a 5 - star monument . However , the below average facilities and rude staff make sure you get the feeling of getting ripped off .",,,,30,"Isfahan, Iran",Iran,ParsiKade
Taj_NEU_11,21-Mar-19,Mar-19,5,March,March,"Yes , certainly a place of beauty & should have been a dream come true . However , spoiled by touts , hawkers , photographers . Its an expensive visit . If you have the time and funds to get to Amritsar , its free to go into the Golden Temple , a calm and beautiful place . Free to wander the Jallian Wala Bargh Memorial Gardens and free to attend the Wagah Border Ceremony - great fun !",,,,3,none,none,SparksinIndia
Taj_NEU_12,17-Mar-19,Mar-19,1,March,March,"Nicely Maintained however i went in Feb 2019 so maintainence was ongoing , abit messed but the services are really good , Wntry os 50 and Going inside the Taj Mahal is 200 , and they show a replica of the tomb not the original one , and they have written it proudly aswell , .",,,,9,"Pune, India",India,iambabluji
Taj_NEU_13,19-Feb-19,Feb-19,4,February,February,The view is amazing . The shoe guards seemed a waste of time due to the fact it was raining and the guards asked us to place the shoe guards on out in the muddy rain . Everyone was splashing in the mud and this then was taken into the Taj . Other than that its was ok !,,,,7,Qatar,Qatar,T4574SAcourtneym
Taj_NEU_14,13-Feb-19,Oct-18,2,February,October,but if the weather is no good then it is not so photogenic . Check the weather first before you go there .,,,,0,"Bangkok, Thailand",Thailand,thunradee
Taj_NEU_15,2-Feb-19,Jan-19,3,February,January,"it is important to consider what gate you want to enter throughone has a much longer walk past touts and stalls , but the line at the entrance is quite short . In January , the Taj is often inundatedwith fog in the morning making it impossible to have a good experience there and beat the crowds . We went around 9 a.m. and could not even see the Taj by the time we had to leave at 10:30 .",,,,30,"Boulder, Colorado",USA,morningsglory
